"name","eo_id","ovc_id","physical_address_state","physical_address_city","physical_address_line3","physical_address_line2","physical_address_line1","physical_address_location_name","physical_address_zip","mailing_address_state","mailing_address_line1","mailing_address_line2","mailing_address_line3","mailing_address_location_name","mailing_address_zip","mailing_address_city","elections_url","registration_url","am_i_registered_url","absentee_url","where_do_i_vote_url","what_is_on_my_ballot_url","rules_url","voter_services","hours","id"
"HIGHLAND COUNTY","39100036","","OH","Hillsboro","","Suite 200","1575 N. High St.","Highland County","43950","","","","","","","","http://www.highlandcountyelections.com","","","","","","","","8:30 a.m. - 4:00 p.m.","39200036"
"HOCKING COUNTY","39100037","","OH","Logan","","","93 W. Hunter St.","Hocking County","43950","","","","","","","","http://www.hockingcountyboe.org","","","","","","","","8:00 a.m. - 4:00 p.m.","39200037"
"HOLMES COUNTY","39100038","","OH","Millersburg","","Suite 108","75 E. Clinton St.","Holmes County","43950","","","","","","","","http://www.holmescountyboardofelections.com","","","","","","","","8:00 a.m. - 4:00 p.m.","39200038"
"HURON COUNTY","39100039","","OH","Norwalk","","Suite 4","180 Milan Ave.","Huron County  Administration Building","43950","","","","","","","","http://www.huroncountyboe.com","","","","","","","","8:30 a.m. - 4:00 p.m.","39200039"
"ASHTABULA COUNTY","3910004","","OH","Jefferson","","","8 W. Walnut St.","Ashtabula County","44047","","","","","","","","http://www.electionsonthe.net/oh/ashtabula","","","","","","","","8:30 a.m. - 4:30 p.m.","3920004"
"JACKSON COUNTY","39100040","","OH","Jackson","","Suite 2","275 Portsmouth St.","Jackson County","43950","","","","","","","","http://www.electionsonthe.net/oh/jackson","","","","","","","","8:00 a.m. - 4:00 p.m.","39200040"
"JEFFERSON COUNTY","39100041","","OH","Steubenville","","","117 N. Third St.","Jefferson County","43950","","","","","","","","http://www.electionsonthe.net/oh/jefferson","","","","","","","","9:00 a.m. - 4:30 p.m.","39200041"
"KNOX COUNTY","39100042","","OH","Mt. Vernon","","Suite 210","117 E. High St.","Knox County","43950","","","","","","","","http://www.co.knox.oh.us/offices/boe","","","","","","","","8:00 a.m. - 4:00 p.m.","39200042"
"LAKE COUNTY","39100043","","OH","Painesville","","","105 Main St.","Lake County","43950","","","","","","","","http://www.lakeelections.com","","","","","","","","8:00 a.m. - 4:30 p.m.","39200043"
"LAWRENCE COUNTY","39100044","","OH","Ironton","","","111 S. Fourth St.","Lawrence County Veterans Square","43950","","","","","","","","http://electionsonthe.net/oh/lawrence/","","","","","","","","8:00 a.m. - 4:00 p.m.","39200044"
"LICKING COUNTY","39100045","","OH","Newark","","","20 S. Second St.","Licking County Administration Building","43950","","","","","","","","http://www.electionsonthe.net/oh/licking","","","","","","","","8:00 a.m. - 4:30 p.m.","39200045"
"LOGAN COUNTY","39100046","","OH","Bellefontaine","","","225 S. Main St.","Logan County","43950","","","","","","","","http://www.electionsonthe.net/oh/logan","","","","","","","","8:30 a.m. - 4:30 p.m.","39200046"
"LORAIN COUNTY","39100047","","OH","Lorain","","","1985 North Ridge Rd. E","Lorain County","43950","","","","","","","","http://www.loraincountyelections.com","","","","","","","","8:30 a.m. - 4:30 p.m.","39200047"
"LUCAS COUNTY","39100048","","OH","Toledo","","Suite 300","One Government Center","Lucas County","43950","","","","","","","","http://www.lucascountyvotes.org","","","","","","","","8:30 a.m. - 4:30 p.m.","39200048"
"MADISON COUNTY","39100049","","OH","London","","","1423 State Route 38 SE","Madison County","43950","","","","","","","","http://www.electionsonthe.net/oh/madison","","","","","","","","8:00 a.m. - 4:00 p.m.","39200049"
"ATHENS COUNTY","3910005","","OH","Athens","","Room 130","15 S. Court St.","Athens County","45701","","","","","","","","http://electionsonthe.net/oh/Athens/","","","","","","","","8:00 a.m. - 4:00 p.m.","3920005"
"MAHONING COUNTY","39100050","","OH","Youngstown","","","345 Oak Hill Ave. Entrance A","Mahoning County","43950","","","","","","","","http://vote.mahoningcountyoh.gov","","","","","","","","8:00 a.m. - 4:30 p.m.","39200050"
"MARION COUNTY","39100051","","OH","Marion","","","222 W. Center St.","Marion County","43950","","","","","","","","http://www.marionelections.com","","","","","","","","8:30 a.m. - 4:30 p.m.","39200051"
"MEDINA COUNTY","39100052","","OH","Medina","","Suite C","3800 Stonegate Drive","Medina County","43950","","","","","","","","http://www.boe.co.medina.oh.us","","","","","","","","8:00 a.m. - 4:30 p.m.","39200052"
"MEIGS COUNTY","39100053","","OH","Pomeroy","","Suite 1","117 E. Memorial Dr.","Meigs County","43950","","","","","","","","http://www.electionsonthe.net/oh/meigs","","","","","","","","8:30 a.m. - noon","39200053"
"MERCER COUNTY","39100054","","OH","Celina","","Room 107","101 N. Main St.","Mercer County","43950","","","","","","","","http://www.mercercountyohio.org/elections/","","","","","","","","8:30 a.m. - 5:00 p.m. (M) 8:30 a.m. - 4:00 p.m. (Tu - F)","39200054"
"MIAMI COUNTY","39100055","","OH","Troy","","","215 W. Main St.","Miami County Courthouse","43950","","","","","","","","http://www.electionsonthe.net/oh/miami","","","","","","","","8:00 a.m. - 4:00 p.m.","39200055"
"MONROE COUNTY","39100056","","OH","Woodsfield","","Suite 12","117 North Main Street","Monroe County","43950","","","","","","","","http://sites.google.com/site/monroecountyboe","","","","","","","","9:00 a.m. - 4:30 p.m.","39200056"
"MONTGOMERY COUNTY","39100057","","OH","Dayton","","","451 W. Third St.","Montgomery County","43950","","","","","","","","http://www.mcboe.org","","","","","","","","8:00 a.m. - 4:00 p.m.","39200057"
"MORGAN COUNTY","39100058","","OH","McConnelsville","","Room 157","155 E. Main St.","Morgan County","43950","","","","","","","","http://sites.google.com/site/morgancountyboardofelections","","","","","","","","8:00 a.m.- Noon; 1:00 p.m. - 4:00 p.m. (Monday-Wednesday)","39200058"
"MORROW COUNTY","39100059","","OH","Mt. Gilead","","Room 146","619 W. Marion Rd.","Morrow County","43950","","","","","","","","http://www.morrowcounty.info/www/index.php/2013-01-11-19-24-05/board-of-elections","","","","","","","","8:00 a.m. - 4:30 p.m.","39200059"
"AUGLAIZE COUNTY","3910006","","OH","Wapakoneta","","Room 205","209 S. Blackhoof","Auglaize County","45895","","","","","","","","http://www2.auglaizecounty.org/departments/board-of-elections","","","","","","","","8:00 a.m. - 4:30 p.m.","3920006"
"MUSKINGUM COUNTY","39100060","","OH","Zanesville","","","205 N. Seventh St.","Muskingum County","43950","","","","","","","","http://boe.muskingumcounty.org","","","","","","","","8:00 a.m. - 4:00 p.m.","39200060"
"NOBLE COUNTY","39100061","","OH","Caldwell","","","140 Court House","Noble County","43950","","","","","","","","http://www.electionsonthe.net/oh/noble/","","","","","","","","9:00 a.m. - 4:00 p.m. (M, T, W, F) 9:00 a.m. - 12:00 noon (Thursday)","39200061"
"OTTAWA COUNTY","39100062","","OH","Oak Harbor","","Suite 101","8444 W. State Route 163","Ottawa County","43950","","","","","","","","http://www.co.ottawa.oh.us/OCBoardofElections","","","","","","","","8:30 a.m. - 4:30 p.m.","39200062"
"PAULDING COUNTY","39100063","","OH","Paulding","","","105 E. Perry St.","Paulding County","43950","","","","","","","","http://www.electionsonthe.net/OH/Paulding","","","","","","","","8:00 a.m. - noon &1:00 p.m. - 4:00 p.m.","39200063"
"PERRY COUNTY","39100064","","OH","New Lexington","","","121 W. Brown St.","Perry County","43950","","","","","","","","http://sites.google.com/site/perrycountyelections","","","","","","","","8:00 a.m. - 4:30 p.m.","39200064"
"PICKAWAY COUNTY","39100065","","OH","Circleville","","Suite 800","141 W. Main St.","Pickaway County","43950","","","","","","","","http://www.electionsonthe.net/oh/pickaway","","","","","","","","8:00 a.m. - 4:00 p.m.","39200065"
"PIKE COUNTY","39100066","","OH","Waverly","","Suite 1100","230 Waverly Plaza","Pike County","43950","","","","","","","","http://www.electionsonthe.net/oh/pike","","","","","","","","8:30 a.m. - 4:00 p.m.","39200066"
"PORTAGE COUNTY","39100067","","OH","Ravenna","","Room 101","449 S. Meridian St.","Portage County","43950","","","","","","","","http://www.co.portage.oh.us/election/index.html","","","","","","","","8:00 a.m. - 4:30 p.m.","39200067"
"PREBLE COUNTY","39100068","","OH","Eaton","","","101 E. Main St.","Preble County Courthouse","43950","","","","","","","","http://www.electionsonthe.net/Oh/Preble","","","","","","","","8:00 a.m. - 4:00 p.m.","39200068"
"PUTNAM COUNTY","39100069","","OH","Ottawa","","Suite Aÿ","336 E. Main St.","Putnam County","43950","","","","","","","","http://www.putnamcountyohio.gov/CountyAgencies/BoardofElections.aspx","","","","","","","","8:30 a.m. - 4:30 p.m.","39200069"
"BELMONT COUNTY","3910007","","OH","St. Clairsville","","Suite B","103 Plaza Dr.","Belmont County","43950","","","","","","","","http://www.electionsonthe.net/oh/belmont","","","","","","","","8:30 a.m. - 4:30 p.m.","3920007"
"RICHLAND COUNTY","39100070","","OH","Mansfield","","Suite 101","1495 W. Longview Ave.","Richland County","43950","","","","","","","","http://www.richlandcountyoh.us/boe.htm","","","","","","","","8:00 a.m. - 4:00 p.m.","39200070"
"ROSS COUNTY","39100071","","OH","Chillicothe","","Suite D","475 Western Ave.","Ross County","43950","","","","","","","","http://www.electionsonthe.net/Oh/Ross","","","","","","","","8:00 a.m. - 4:00 p.m.","39200071"
"SANDUSKY COUNTY","39100072","","OH","Fremont","","","2020 Countryside Dr.","Sandusky County","43950","","","","","","","","http://www.sandusky-county.org/index.php?=page=board-of-elections","","","","","","","","8:00 a.m. - 4:30 p.m.","39200072"
"SCIOTO COUNTY","39100073","","OH","Portsmouth","","Rm 105","602 7th St.","Scioto County","43950","","","","","","","","http://electionsonthe.net/oh/scioto/index.htm","","","","","","","","8:30 a.m. - 4:30 p.m.","39200073"
"SENECA COUNTY","39100074","","OH","Tiffin","","Ste. 1101","71 S. Washington St.","Seneca County","43950","","","","","","","","http://www.electionsonthe.net/oh/seneca","","","","","","","","8:30 a.m. - 4:30 p.m.","39200074"
"SHELBY COUNTY","39100075","","OH","Sidney","","","230ÿE. Court St.","Shelby County","43950","","","","","","","","http://www.co.shelby.oh.us/electionsboard","","","","","","","","8:30 a.m. - 4:00 p.m.","39200075"
"STARK COUNTY","39100076","","OH","Canton","","","3525 Regent Ave. NE","Stark County","43950","","","","","","","","http://www.starkcountyohio.gov/board-of-elections","","","","","","","","8:30 a.m. - 4:30 p.m.","39200076"
"SUMMIT COUNTY","39100077","","OH","Akron","","","470 Grant St.","Summit County","43950","","","","","","","","http://www.summitcountyboe.com","","","","","","","","8:00 a.m. - 4:30 p.m.","39200077"
"TRUMBULL COUNTY","39100078","","OH","Warren","","","2947 Youngstown Rd. SE","Trumbull County","43950","","","","","","","","http://www.electionohio.com/trumbull","","","","","","","","8:30 a.m. - 4:30 p.m.","39200078"
"TUSCARAWAS COUNTY","39100079","","OH","New Philadelphia","","","101 E. High Ave.","Tuscarawas County Courthouse Square","43950","","","","","","","","http://boe.co.tuscarawas.oh.us","","","","","","","","8:00 a.m. - 4:30 p.m.","39200079"
"BROWN COUNTY","3910008","","OH","Georgetown","","Suite 111ÿ","800 Mt. Orab Pike","Brown County Administration Building","45121","","","","","","","","http://www.electionsonthe.net/Oh/Brown","","","","","","","","8:30 a.m. - 4:00 p.m.","3920008"
"UNION COUNTY","39100080","","OH","Marysville","","Suite 1000","940 London Ave.","Union County Services Center","43950","","","","","","","","http://www.electionsonthe.net/oh/union","","","","","","","","8:30 a.m. - 4:00 p.m.","39200080"
"VANWERT COUNTY","39100081","","OH","Van Wert","","","120 E. Main St.","Vanwert County Annex","43950","","","","","","","","http://www.electionsonthe.net/oh/VanWert","","","","","","","","8:30 a.m. - 4:00 p.m.","39200081"
"VINTON COUNTY","39100082","","OH","McArthur","","","31935 SR 93","Vinton County Community Building","43950","","","","","","","","http://sites.google.com/site/vintoncountyboardofelections","","","","","","","","8:30 a.m.-11:30 a.m.; 12:30 p.m.- 4:00 p.m. (Monday - Friday)","39200082"
"WARREN COUNTY","39100083","","OH","Lebanon","","Room 323","406 Justice Dr.","Warren County","43950","","","","","","","","http://www.warrencountyboe.us","","","","","","","","8:00 a.m. - 4:30 p.m.","39200083"
"WASHINGTON COUNTY","39100084","","OH","Marietta","","Suite B","204 Davis Ave.","Washington County","43950","","","","","","","","http://www.washingtongov.org/index.aspx?nid=588","","","","","","","","8:00 a.m. - 5:00 p.m.","39200084"
"WAYNE COUNTY","39100085","","OH","Wooster","","Suite 1","200 Vanover St.","Wayne County","43950","","","","","","","","http://www.votewayne.org","","","","","","","","8:00 a.m. - 4:00 p.m.","39200085"
"WILLIAMS COUNTY","39100086","","OH","Bryan","","Suite 104","1425 E. High St.","Williams County","43950","","","","","","","","http://www.co.williams.oh.us/BOE/index1.htm","","","","","","","","8:30 a.m. - 4:30 p.m.","39200086"
"WOOD COUNTY","39100087","","OH","Bowling Green","","","1 Court House Sq.","Wood County","43950","","","","","","","","http://www.co.wood.oh.us/BOE","","","","","","","","8:30 a.m. - 4:30 p.m.","39200087"
"WYANDOT COUNTY","39100088","","OH","Upper Sandusky","","Room 12","109 S. Sandusky Ave.","Wyandot County","43950","","","","","","","","http://www.co.wyandot.oh.us/boardofelections/default.html","","","","","","","","8:30 a.m. - 1:00 p.m.","39200088"
"BUTLER COUNTY","3910009","","OH","Hamilton","","Suite 600","1802 Princeton Rd.","Butler County Princeton Road Campus","43950","","","","","","","","http://www.butlercountyelections.org","","","","","","","","8:30 a.m. - 4:30 p.m.","3920009"
