"name","title","phone","fax","email","id"
"MUSKINGUM COUNTY","","(740) 455-7120ÿ","(740) 455-7178","muskingu@OhioSecretaryofState.govÿ","39100060"
"NOBLE COUNTY","","(740) 732-2057ÿ","(740) 732-6577","noble@OhioSecretaryofState.gov","39100061"
"OTTAWA COUNTY","","(419) 898-3071ÿ","(419) 898-3146","election@co.ottawa.oh.usÿ","39100062"
"PAULDING COUNTY","","(419) 399-8230","(419) 399-8250","paulding@OhioSecretaryofState.gov","39100063"
"PERRY COUNTY","","(740) 342-2134","(740) 342-4787","perry@OhioSecretaryofState.gov","39100064"
"PICKAWAY COUNTY","","(740) 474-1100ÿ","(740) 477-2991","pickaway@OhioSecretaryofState.govÿ","39100065"
"PIKE COUNTY","","(740) 947-4512","(740) 947-5973","pike@OhioSecretaryofState.gov","39100066"
"PORTAGE COUNTY","","(330) 297-3511","(330) 297-3518","portage@OhioSecretaryofState.govÿ","39100067"
"PREBLE COUNTY","","(937) 456-8117","(937) 456-2986","preble@electionsonthe.netÿ","39100068"
"PUTNAM COUNTY","","(419) 523-3343ÿ","(419) 523-3417","putnam@OhioSecretaryofState.govÿ","39100069"
"RICHLAND COUNTY","","(419) 774-5530","(419) 774-5534","boardofelections@richlandcountyoh.us","39100070"
"ROSS COUNTY","","(740) 775-2350ÿ","(740) 775-2383","ross@OhioSecretaryofState.govÿ","39100071"
"SANDUSKY COUNTY","","(419) 334-6180ÿ","(419) 334-6184","hartley@co.sandusky.oh.us","39100072"
"SCIOTO COUNTY","","(740) 353-4178","(740) 355-8363","scioto@OhioSecretaryofState.gov","39100073"
"SENECA COUNTY","","(419) 447-4424","(419) 443-7925","seneca@OhioSecretaryofState.govÿ","39100074"
"SHELBY COUNTY","","(937) 498-7207ÿ","(937) 498-7326","shelby@OhioSecretaryofState.govÿ","39100075"
"STARK COUNTY","","(330) 451-8683ÿ","(330) 451-7000","boe@co.stark.oh.usÿ","39100076"
"SUMMIT COUNTY","","(330) 643-5200ÿ","(330) 643-5422","summit@OhioSecretaryofState.govÿ","39100077"
"TRUMBULL COUNTY","","(330) 369-4050ÿ","(330) 369-4160","trumbull@OhioSecretaryofState.govÿ","39100078"
"TUSCARAWAS COUNTY","","(330) 343-8819","(330) 343-3125","tuscaraw@OhioSecretaryofState.govÿ","39100079"
"UNION COUNTY","","(937) 642-2836ÿ","(937) 642-2823","union@OhioSecretaryofState.govÿ","39100080"
"VANWERT COUNTY","","(419) 238-4192","(419) 238-7145","vanwert@OhioSecretaryofState.govÿ","39100081"
"VINTON COUNTY","","(740) 596-5855ÿ","(740) 596-1907","vinton@OhioSecretaryofState.gov","39100082"
"WARREN COUNTY","","(513) 695-1358ÿ","(513) 695-2953","wcboe@co.warren.oh.usÿ","39100083"
"WASHINGTON COUNTY","","(740) 374-6828ÿ","(740) 374-7698","washingt@OhioSecretaryofState.govÿ","39100084"
"WAYNE COUNTY","","(330) 287-5480ÿ","(330) 287-5686","contact@votewayne.orgÿ","39100085"
"WILLIAMS COUNTY","","(419) 636-1854ÿ","(419) 636-2975","williams@OhioSecretaryofState.govÿ","39100086"
"WOOD COUNTY","","(419) 354-9120ÿ","(419) 354-1730","wood@OhioSecretaryofState.govÿ","39100087"
"WYANDOT COUNTY","","(419) 294-1226ÿ","(419) 294-6437","wyandot@OhioSecretaryofState.gov","39100088"
