"name","eo_id","ovc_id","physical_address_state","physical_address_city","physical_address_line3","physical_address_line2","physical_address_line1","physical_address_location_name","physical_address_zip","mailing_address_state","mailing_address_line1","mailing_address_line2","mailing_address_line3","mailing_address_location_name","mailing_address_zip","mailing_address_city","elections_url","registration_url","am_i_registered_url","absentee_url","where_do_i_vote_url","what_is_on_my_ballot_url","rules_url","voter_services","hours","id"
"Carye  Blaney","542100000031","","WV","Morgantown","","Room 123","243 High Street","Monongalia County Clerk","265055461","","","","","","","","","","","","","","","","","541100000031"
"Donald J. Evans","542100000032","","WV","Union","","PO Box 350","216 Main Street","Monroe County Clerk","249830000","","","","","","","","","","","","","","","","","541100000032"
"Debra  Kesecker","542100000033","","WV","Berkeley Springs","","Suite 1A","77 Fairfax Street","Morgan County Clerk","254111524","","","","","","","","","","","","","","","","","541100000033"
"Audra  Deitz","542100000034","","WV","Summersville","","Suite 2","700 Main Street","Nicholas County Clerk","266511444","","","","","","","","","","","","","","","","","541100000034"
"Patty  Fahey","542100000035","","WV","Wheeling","","","1500 Chapline Street","Ohio County Clerk","260033553","","","","","","","","","","","","","","","","","541100000035"
"Linda D. Rexrode","542100000036","","WV","Franklin","","PO Box 1167","100 South Main Street","Pendleton County Clerk","268070000","","","","","","","","","","","","","","","","","541100000036"
"PLEASANTS","542100000037","","WV","","","","","","","","","","","","","","","","","","","","","","","541100000037"
"Melissa  Bennett","542100000038","","WV","Marlinton","","","900-C 10th Avenue","Pocahontas County Clerk","249541333","","","","","","","","","","","","","","","","","541100000038"
"Linda  Huggins","542100000039","","WV","Kingwood","","Suite 103","106 W. Main Street","Preston County Clerk","265371131","","","","","","","","","","","","","","","","","541100000039"
"Brian  Wood","542100000040","","WV","Winfield","","","3389 Winfield Road","Putnam County Clerk","252139370","","","","","","","","","","","","","","","","","541100000040"
"Betty  Riffe","542100000041","","WV","Beckley","","","215 Main Street","Raleigh County Clerk","258014612","","","","","","","","","","","","","","","","","541100000041"
"Brenda  Wiseman","542100000042","","WV","Elkins","","PO Box 368","2 Randolph Ave","Randolph County Clerk","262414063","","","","","","","","","","","","","","","","","541100000042"
"Tracie  McDonald","542100000043","","WV","Harrisville","","Room 201","115 E. Main Street","Ritchie County Clerk","263621271","","","","","","","","","","","","","","","","","541100000043"
"Charles B. White","542100000044","","WV","Spencer","","","200 Main Street","Roane County Clerk","252761411","","","","","","","","","","","","","","","","","541100000044"
"Mary Beth  Merritt","542100000045","","WV","Hinton","","PO Box 97","120 Ballengee Street","Summers County Clerk","259512469","","","","","","","","","","","","","","","","","541100000045"
"Georgianna  Thompson","542100000046","","WV","Grafton","","","214 W. Main Street","Taylor County Clerk","263541387","","","","","","","","","","","","","","","","","541100000046"
"Sherry  Simmons","542100000047","","WV","Parsons","","Suite 3","215 First Street","Tucker County Clerk","262871277","","","","","","","","","","","","","","","","","541100000047"
"Teresa  Hamilton","542100000048","","WV","Middlebourne","","PO Box 66","121 Main Street","Tyler County Clerk","261499687","","","","","","","","","","","","","","","","","541100000048"
"Debbie  Wilfong","542100000049","","WV","Buckhannon","","Room 101","40 W. Main Street","Upshur County Clerk","262012281","","","","","","","","","","","","","","","","","541100000049"
"Renick  Booth","542100000050","","WV","Wayne","","PO Box 248","700 Hendrick Street","Wayne County Clerk","255700000","","","","","","","","","","","","","","","","","541100000050"
"Eva  Green","542100000051","","WV","Webster Springs","","Room G1","2 Court Square","Webster County Clerk","262881049","","","","","","","","","","","","","","","","","541100000051"
"Carol S. Haught","542100000052","","WV","New Martinsville","","PO Box 156","200 Main Street","Wetzel County Clerk","261551264","","","","","","","","","","","","","","","","","541100000052"
"Suellen  Calebaugh","542100000053","","WV","Elizabeth","","PO Box 53","Corner of Court and Washington Streets","Wirt County Clerk","261430000","","","","","","","","","","","","","","","","","541100000053"
"Mark  Rhodes","542100000054","","WV","Parkersburg","","4th Floor","#1 Court Square","Wood County Clerk","261017500","","","","","","","","","","","","","","","","","541100000054"
"D. Michael  Goode","542100000055","","WV","Pineville","","","PO Box 309","Wyoming County Clerk","248740000","","","","","","","","","","","","","","","","","541100000055"
