"name","eo_id","ovc_id","physical_address_state","physical_address_city","physical_address_line3","physical_address_line2","physical_address_line1","physical_address_location_name","physical_address_zip","mailing_address_state","mailing_address_line1","mailing_address_line2","mailing_address_line3","mailing_address_location_name","mailing_address_zip","mailing_address_city","elections_url","registration_url","am_i_registered_url","absentee_url","where_do_i_vote_url","what_is_on_my_ballot_url","rules_url","voter_services","hours","id"
"COUNTY OF BLAND- PHYSICAL ADDRESS","50010","","VA","BLAND","","","599 MAIN STREET, SUITE 2","COUNTY OF BLAND- PHYSICAL ADDRESS","24315","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:00am to 4:00pm","40010"
"BOTETOURT COUNTY - PHYSICAL ADDRESS","50011","","VA","FINCASTLE","","","OLD POST OFFICE BLDG, 2 EAST MAIN STREET","BOTETOURT COUNTY - PHYSICAL ADDRESS","24090","","","","","","","","http://www.co.botetourt.va.us/government/voter_info.php","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 AM - 4:30 PM","40011"
"BRUNSWICK COUNTY","50012","","VA","LAWRENCEVILLE","","100 TOBACCO ST RM 103","GOVERNMENT BUILDING","BRUNSWICK COUNTY","23868","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 a.m.-4:30 p.m.","40012"
"VOTER REGISTRAR'S OFFICE","50013","","VA","GRUNDY","","PO BOX 975","23784 RIVERSIDE DR","VOTER REGISTRAR'S OFFICE","24614","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","Monday-Friday","40013"
"BUCKINGHAM COUNTY -PHYSICAL ADDRESS","50014","","VA","BUCKINGHAM","","SUITE A","13360 W JAMES ANDERSON HWY","BUCKINGHAM COUNTY -PHYSICAL ADDRESS","23921","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 am - 4:30 pm","40014"
"CAMPBELL COUNTY GENERAL REGISTRAR - PHYSICAL ADDRESS","50015","","VA","RUSTBURG","","41 COURTHOUSE LN","HISTORIC CLERK'S OFFICE","CAMPBELL COUNTY GENERAL REGISTRAR - PHYSICAL ADDRESS","24588-2610","","","","","","","","http://www.campbellcountyva.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 a.m. - 5:00 p.m.","40015"
"CAROLINE COUNTY","50016","","VA","BOWLING GREEN","","","212 N. MAIN STREET","CAROLINE COUNTY","22427","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","9:00AM - 5:00PM","40016"
"GENERAL REGISTRAR- PHYSICAL ADDRESS","50019","","VA","CHARLOTTE COURT HSE","","","115 LEGRANDE AVENUE","GENERAL REGISTRAR- PHYSICAL ADDRESS","23923","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","","40019"
"COUNTY OF CHESTERFIELD - PHYSICAL ADDRESS","50020","","VA","CHESTERFIELD","","","9848 LORI ROAD","COUNTY OF CHESTERFIELD - PHYSICAL ADDRESS","23832-","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","","40020"
"CARROLL COUNTY VOTER REGISTRATION","50017","","VA","HILLSVILLE","","605-3 PINE STREET, B110","GOVERNMENTAL CENTER","CARROLL COUNTY VOTER REGISTRATION","24343-1404","","","","","","","","http://www.carrollcountyva.org/voterregistration/","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:00 AM - 5:00 PM","40017"
"CHARLES CITY COUNTY GENERAL REGISTRARS OFFICE","50018","","VA","CHARLES CITY","","","10900 COURTHOUSE ROAD","CHARLES CITY COUNTY GENERAL REGISTRARS OFFICE","23030","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30am till 4:30 pm","40018"
"GENERAL REGISTRAR","50021","","VA","BERRYVILLE","","","101 CHALMERS COURT ","GENERAL REGISTRAR","22611","","","","","","","","http://www.clarkecounty.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 a.m. - 4:30 p.m.","40021"
"GENERAL REGISTRAR","50022","","VA","NEW CASTLE","","PO BOX 8","155 MAIN ST","GENERAL REGISTRAR","24127","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:00 am- 4:00 pm","40022"
"VOTER REGISTRATION OF CULPEPER COUNTY","50023","","VA","CULPEPER","","SUITE 301","151 NORTH MAIN STREET","VOTER REGISTRATION OF CULPEPER COUNTY","22701","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:00 am to 4:00 pm","40023"
"CUMBERLAND REGISTRAR'S OFFICE","50024","","VA","CUMBERLAND","","PO BOX 125","1487 ANDERSON HWY","CUMBERLAND REGISTRAR'S OFFICE","23040","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30am-4:30pm","40024"
"DICKENSON COUNTY - PHYSICAL ADDRESS","50025","","VA","CLINTWOOD","","PO BOX 1306","DMV BUILDING HWY 83","DICKENSON COUNTY - PHYSICAL ADDRESS","24228","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","9:00 AM - 5:00 PM","40025"
"OFC OF THE GENERAL REGISTRAR","50026","","VA","DINWIDDIE","","14016 BOYDTON PLANK ROAD","THE PAMPLIN BUILDING","OFC OF THE GENERAL REGISTRAR","23841","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 a.m.  until   4:30 p.m.","40026"
"ESSEX COUNTY VOTER REGISTRATION","50027","","VA","TAPPAHANNOCK","","PO BOX 1561","","ESSEX COUNTY VOTER REGISTRATION","22560","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30am to 4:30pm","40027"
"FAIRFAX COUNTY","50028","","VA","FAIRFAX","SUITE 323","12000 GOVERNMENT CENTER PKWY","OFFICE OF ELECTIONS","FAIRFAX COUNTY","22035-0081","","","","","","","","http://www.fairfaxcounty.gov/elections","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:00 a.m. to 4:30 p.m Monday-Wednesday and Friday and 8:00 a.m. to 7:00 p.m. Thursday","40028"
"OFFICE OF THE GENERAL REGISTRAR","50029","","VA","WARRENTON","","","32 WATERLOO STREET, SUITE 207","OFFICE OF THE GENERAL REGISTRAR","20186-3238","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:00am to 4:30pm","40029"
"FLOYD COUNTY-PHYSICAL ADDRESS","50030","","VA","FLOYD","","","100 E MAIN ST RM 302","FLOYD COUNTY-PHYSICAL ADDRESS","24091-3781","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","9:00 am - 5:00 pm","40030"
"COUNTY OF FLUVANNA - PHYSICAL ADDRESS","50031","","VA","PALMYRA","","","211 MAIN STREET","COUNTY OF FLUVANNA - PHYSICAL ADDRESS","22963","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 A.M. - 4:30 P.M.","40031"
"VOTER REGISTRAR OF FRANKLIN COUNTY","50032","","VA","ROCKY MOUNT","","","1255 FRANKLIN STREET, SUITE 106","VOTER REGISTRAR OF FRANKLIN COUNTY","24151","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 A.M. TO 5:00 P.M.","40032"
"VOTER REGISTRATION PHYSICAL ADDRESS","50033","","VA","WINCHESTER","","","107 N. KENT STREET, SUITE 102","VOTER REGISTRATION PHYSICAL ADDRESS","22601-5039","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","","40033"
"GILES COUNTY GENERAL REGISTRAR'S OFFICE - PHYSICAL ADDRESS","50034","","VA","PEARISBURG","","SUITE 1","201 N MAIN STREET","GILES COUNTY GENERAL REGISTRAR'S OFFICE - PHYSICAL ADDRESS","24134","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","","40034"
"NOTTOWAY COUNTY PHYSICAL ADDRESS","50064","","VA","CREWE","","","263 WEST COURTHOUSE ROAD","NOTTOWAY COUNTY PHYSICAL ADDRESS","23930","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 am-4:30 pm","40064"
"COUNTY OF ORANGE","50065","","VA","ORANGE","","","146 MADISON RD SUITE 204","COUNTY OF ORANGE","22960","","","","","","","","http://orangecountyva.gov/voter","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:00 am - 5:00 pm","40065"
"GENERAL REGISTRAR","50066","","VA","LURAY","","SUITE D","103 SOUTH COURT STREET","GENERAL REGISTRAR","22835","","","","","","","","http://www.pagecounty.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","9am - 5pm","40066"
"COUNTY OF GLOUCESTER-REGISTRAR'S PHYSICAL ADDRESS","50035","","VA","GLOUCESTER","","","6467 MAIN STREET, BUILDING ONE","COUNTY OF GLOUCESTER-REGISTRAR'S PHYSICAL ADDRESS","23061","","","","","","","","http://www.gloucesterva.info/registrar","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 a.m.-4:30 p.m.","40035"
"GENERAL REGISTRAR","50036","","VA","GOOCHLAND","","","1800 SANDY HOOK RD","GENERAL REGISTRAR","23063","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 am - 4:30 pm","40036"
"COUNTY OF GRAYSON","50037","","VA","INDEPENDENCE","","PO BOX 449","129 DAVIS STREET","COUNTY OF GRAYSON","24348","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:00 AM - 4:00 PM","40037"
"GREENE COUNTY","50038","","VA","STANARDSVILLE","","PO BOX 341","32 STANARD STREET","GREENE COUNTY","22973","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 AM- 5:00 PM","40038"
"GREENSVILLE COUNTY","50039","","VA","EMPORIA","","","PO BOX 1092","GREENSVILLE COUNTY","23847","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","9:00 am-5:00 pm","40039"
"COUNTY OF HALIFAX-PHYSICAL ADDRESS","50040","","VA","HALIFAX","","","1030 COWFORD RD","COUNTY OF HALIFAX-PHYSICAL ADDRESS","24558","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 am- 4:30 pm","40040"
"HANOVER CO. VOTER REGISTRATION & ELECTIONS OFFICE","50041","","VA","HANOVER","","7497 COUNTY COMPLEX RD","ROOM 119, WICKHAM BUILDING","HANOVER CO. VOTER REGISTRATION & ELECTIONS OFFICE","23169","","","","","","","","http://www.hanovercounty.gov/Registrar/879/","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 a.m. - 5:00 p.m.","40041"
"REGISTRAR","50042","","VA","HENRICO","","ANNEXATION BUILDING, ROOM 105","4301 E. PARHAM RD","REGISTRAR","23228","","","","","","","","http://henrico.us/registrar/","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:00am - 4:30pm","40042"
"COUNTY OF HENRY","50043","","VA","COLLINSVILLE","","PO BOX 7","3300 KINGS MOUNTAIN RD","COUNTY OF HENRY","24078","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 A.M. - 5:00 P.M.","40043"
"COUNTY OF HIGHLAND","50044","","VA","MONTEREY","","PO BOX 386","49 SPRUCE ST., SUITE 1 ","COUNTY OF HIGHLAND","24465","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","9am until 4:30pm","40044"
"GENERAL REGISTRAR","50045","","VA","ISLE OF WIGHT","","PO BOX 77","17106 MONUMENT CIRCLE","GENERAL REGISTRAR","23397-0077","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 a.m. - 5:00 p.m.","40045"
"JAMES CITY COUNTY VOTER REGISTRATION & ELECTIONS - PHYSICAL","50046","","VA","WILLIAMSBURG","","","101 MOUNTS BAY RD BLDG E","JAMES CITY COUNTY VOTER REGISTRATION & ELECTIONS - PHYSICAL","23185-6569","","","","","","","","http://www.jamescitycountyva.gov/vote","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8 a.m.-5 p.m.","40046"
"GENERAL REGISTRAR","50047","","VA","KING & QUEEN C.H.","","232 ALLENS CIRCLE","P. O. BOX 56","GENERAL REGISTRAR","23085","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 am to 4:30 pm","40047"
"KING GEORGE","50048","","VA","KING GEORGE","","10459 COURTHOUSE DR SUITE 102","PO BOX 1359","KING GEORGE","22485","","","","","","","","http://www.king-george.va.us","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:15 am to 4:45 pm","40048"
"KING WILLIAM COUNTY","50049","","VA","KING WILLIAM","","PO BOX 173","180 HORSE LANDING ROAD","KING WILLIAM COUNTY","23086","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30- 4:30","40049"
"LANCASTER COUNTY -PHYSICAL ADDRESS","50050","","VA","LANCASTER","","","8311 MARY BALL RD","LANCASTER COUNTY -PHYSICAL ADDRESS","22503","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","","40050"
"GENERAL REGISTRAR PHYSICAL ADDRESS","50053","","VA","LOUISA","","","1 WOOLFOLK AVE","GENERAL REGISTRAR PHYSICAL ADDRESS","23093","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30-4:30","40053"
"LUNENBURG COUNTY ","50054","","VA","LUNENBURG","","","160 COURTHOUSE SQUARE","LUNENBURG COUNTY ","23952","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","9:00 a.m. to 5:00 p.m.","40054"
"MATHEWS COUNTY","50056","","VA","MATHEWS","","PO BOX 328","","MATHEWS COUNTY","23109-0328","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 a.m. - 4:30 p.m.","40056"
"REGISTRAR'S OFFICE","50057","","VA","BOYDTON","","PO BOX 436","439 MADISON STREET","REGISTRAR'S OFFICE","23917","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30am-4:30pm","40057"
"LEE COUNTY VOTER REGISTRATION - PHYSICAL ADDRESS","50051","","VA","JONESVILLE","","33640 MAIN ST. SUITE 104","LEE COUNTY COURT HOUSE","LEE COUNTY VOTER REGISTRATION - PHYSICAL ADDRESS","24263","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 AM - 4:30 PM","40051"
"LOUDOUN COUNTY OFFICE OF ELECTIONS - PHYSICAL ADDRESS","50052","","VA","LEESBURG","","","750 MILLER DRIVE, SE, SUITE C","LOUDOUN COUNTY OFFICE OF ELECTIONS - PHYSICAL ADDRESS","20175-8916","","","","","","","","http://www.loudoun.gov/voting","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 a.m. - 5:00 p.m.","40052"
"MADISON VOTER REGISTRATION & ELECTIONS","50055","","VA","MADISON","","302 THRIFT ROAD","PO BOX 267","MADISON VOTER REGISTRATION & ELECTIONS","22727-0267","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 a.m. to 4:30 p.m.","40055"
"MIDDLESEX COUNTY VOTER REGISTRATION - PHYSICAL ADDRESS","50058","","VA","SALUDA",""," ","865 GENERAL PULLER HIGHWAY","MIDDLESEX COUNTY VOTER REGISTRATION - PHYSICAL ADDRESS","23149","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 a.m. - 4:30 p.m.","40058"
"MONTGOMERY COUNTY REGISTRAR'S OFFICE","50059","","VA","CHRISTIANSBURG","","SUITE 1F","755 ROANOKE STREET","MONTGOMERY COUNTY REGISTRAR'S OFFICE","24073","","","","","","","","http://www.montva.com/","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 AM - 5:00 PM","40059"
"NELSON COUNTY VOTER REGISTRATION","50060","","VA","LOVINGSTON"," ","PO BOX 292","571 FRONT STREET","NELSON COUNTY VOTER REGISTRATION","22949-0292","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","9:00AM TO 5:00PM","40060"
"NEW KENT VOTER REGISTRATION AND ELECTIONS","50061","","VA","NEW KENT","PO BOX 128","7911 COURTHOUSE WAY, SUITE 400 ","HEALTH & HUMAN SERVICE BUILDING","NEW KENT VOTER REGISTRATION AND ELECTIONS","23124","","","","","","","","http://www.co.new-kent.va.us/registrar/ ","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:00 AM - 4:30 PM","40061"
"VOTER REGISTRATION","50062","","VA","EASTVILLE","","PO BOX 510","16404 COURTHOUSE RD","VOTER REGISTRATION","23347-0510","","","","","","","","http://www.co.northampton.va.us/gov/registrar/","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","9:00 A.M. - 5:00 P.M.","40062"
