"start_house_number","end_house_number","odd_even_both","start_apartment_number","end_apartment_number","non_house_address_address_direction","non_house_address_street_name","non_house_address_house_number_prefix","non_house_address_city","non_house_address_street_suffix","non_house_address_state","non_house_address_street_direction","non_house_address_house_number_suffix","non_house_address_zip","non_house_address_apartment","non_house_address_house_number","precinct_id","precinct_split_id","id"
"1","117","Both","","","N","21st","","Big Stone Gap","ST","VA","E","","24219","","","90089","100091","2000145"
"1","117","Both","","","S","4th","","Big Stone Gap","ST","VA","W","","24219","","","90089","100091","2000146"
"1","117","Both","","","S","5th","","Big Stone Gap","ST","VA","W","","24219","","","90089","100091","2000147"
"1","1177","Both","","","","Price Ridge","","Bland","Rd","VA","","","24315","","","90024","100172","2000148"
"1","118","Both","","","","VALLEY","","HONAKER","LN","VA","","","24260","","","90136","100105","2000149"
"1","118","Both","","","","WHITES","","Swords Creek","LN","VA","","","24649","","","90010","100062","2000150"
"1","1183","Both","","","","DON STEVENS","","Honaker","DR","VA","","","24260","","","90056","100167","2000151"
"1","1186","Both","","","","WISE HOLLOW","","LEBANON","RD","VA","","","24266","","","90129","100096","2000152"
"1","1187","Both","","","","HARTS CREEK","","Cleveland","RD","VA","","","24225","","","90140","100114","2000153"
"1","119","Both","","","","DUNN","","Bland","LN","VA","","","24315","","","90119","100063","2000154"
"1","119","Both","","","","PEACEFUL","","Honaker","LN","VA","","","24260","","","90056","100167","2000155"
"1","119","Both","","","","TATES","","Castlewood","ST","VA","","","24224","","","90141","100029","2000156"
"1","119","Both","","","","YORKE","","CASTLEWOOD","ST","VA","","","24224","","","90141","100029","2000157"
"1","119","Both","","","N","13th","","Big Stone Gap","ST","VA","E","","24219","","","90089","100091","2000158"
"1","119","Both","","","N","4th","","Big Stone Gap","ST","VA","W","","24219","","","90089","100091","2000159"
"1","119","Both","","","N","Proctor","","Big Stone Gap","ST","VA","","","24219","","","90089","100091","2000160"
"1","119","Both","","","S","4th","","Big Stone Gap","ST","VA","E","","24219","","","90089","100091","2000161"
"1","120","Both","","","","COLLINS","","CASTLEWOOD","DR","VA","","","24224","","","90141","100029","2000162"
"1","120","Both","","","","HOLBROOK","","Castlewood","DR","VA","","","24224","","","90141","100029","2000163"
"1","120","Both","","","","HORTON","","LEBANON","DR","VA","","","24266","","","90059","100034","2000164"
"1","120","Both","","","","LEE","","RADFORD","ST","VA","","","24141","","","90014","100129","2000165"
"1","120","Both","","","","LESTER","","HONAKER","RD","VA","","","24260","","","90136","100105","2000166"
"1","120","Both","","","NW","12TH","","NORTON","ST","VA","","","24273","","","90015","100058","2000167"
"1","121","Both","","","","BUSH","","CASTLEWOOD","DR","VA","","","24224","","","90141","100029","2000168"
"1","121","Both","","","","CHERRY HILL","","HONAKER","DR","VA","","","24260","","","90136","100105","2000169"
"1","121","Both","","","","DAISY","","Lebanon","DR","VA","","","24266","","","90059","100051","2000170"
"1","121","Both","","","","MELODY","","Rosedale","ST","VA","","","24280","","","90038","100054","2000171"
"1","121","Both","","","","WALNUT HILLS","","Castlewood","DR","VA","","","24224","","","90141","100029","2000172"
"1","121","Both","","","","WILLIAMS","","BLAND","LN","VA","","","24315","","","90025","100136","2000173"
"1","1211","Both","","","","CARTERTON","","Lebanon","RD","VA","","","24266","","","90087","100095","2000174"
"1","1213","Both","","","","SCENIC ELK GARDEN","","LEBANON","DR","VA","","","24266","","","90104","100066","2000175"
"1","122","Both","","","","WALNUT","","Lebanon","AVE","VA","","","24266","","","90059","100034","2000176"
"1","123","Both","","","","FAIRGROUND","","BLAND","ST","VA","","","24315","","","90119","100063","2000177"
"1","123","Both","","","","JEB STUART","","BLAND","ST","VA","","","24315","","","90119","100063","2000178"
"1","123","Both","","","","KIMBERLY","","Cleveland","CIR","VA","","","24225","","","90090","100109","2000179"
"1","1235","Both","","","","CARTERTON","","Lebanon","PL","VA","","","24266","","","90141","100029","2000180"
"1","1236","Both","","","","BELFAST MILLS","","CEDAR BLUFF","RD","VA","","","24609","","","90038","100054","2000181"
"1","124","Both","","","","GEORGE BEN WHITED","","LEBANON","DR","VA","","","24266","","","90059","100034","2000182"
"1","124","Both","","","","MIDDLE","","Cleveland","AVE","VA","","","24225","","","90090","100109","2000183"
"1","124","Both","","","","ROSE HILL","","Lebanon","DR","VA","","","24266","","","90129","100096","2000184"
"1","1243","Both","","","","BOSTIC","","SWORDS CREEK","HOLW","VA","","","24649","","","90010","100062","2000185"
"1","1246","Both","","","","SMOOTS","","Cleveland","BR","VA","","","24225","","","90069","100064","2000186"
"1","125","Both","","","","BIRCH","","HONAKER","DR","VA","","","24260","","","90136","100105","2000187"
"1","125","Both","","","","FACTORY","","Honaker","RD","VA","","","24260","","","90136","100105","2000188"
"1","125","Both","","","","PHILLIP","","Castlewood","DR","VA","","","24224","","","90100","100106","2000189"
"1","125","Both","","","","POWERS","","Castlewood","DR","VA","","","24224","","","90141","100029","2000190"
"1","1253","Both","","","","STEELE","","SWORDS CREEK","BR","VA","","","24649","","","90010","100062","2000191"
"1","1255","Both","","","","WARREN BAKER","","Castlewood","DR","VA","","","24224","","","90100","100106","2000192"
"1","126","Both","","","","AMERICA","","Cleveland","ST","VA","","","24225","","","90090","100109","2000193"
"1","126","Both","","","","LONE OAK","","ROCKY GAP","LN","VA","","","24366","","","90039","100171","2000194"
"1","126","Both","","","","REGAN","","Castlewood","DR","VA","","","24224","","","90100","100106","2000195"
"1","1262","Both","","","","GATE","","CASTLEWOOD","RD","VA","","","24224","","","90087","100095","2000196"
"1","1262","Both","","","","HARRIS","","Honaker","RD","VA","","","24260","","","90140","100114","2000197"
"1","1262","Both","","","","MCFARLANE","","Rosedale","LN","VA","","","24280","","","90038","100054","2000198"
"1","127","Both","","","","MAPLE","","LEBANON","ST","VA","","","24266","","","90059","100034","2000199"
"1","127","Both","","","","REBEL","","Castlewood","DR","VA","","","24224","","","90141","100029","2000200"
"1","1270","Both","","","","JOHNSON SETTLEMENT","","Castlewood","RD","VA","","","24224","","","90100","100106","2000201"
"1","1271","Both","","","","REGIONAL PARK","","Lebanon","RD","VA","","","24266","","","90059","100034","2000202"
"1","128","Both","","","","STONE","","Lebanon","DR","VA","","","24266","","","90059","100034","2000203"
"1","129","Both","","","","CEDARVIEW","","LEBANON","DR","VA","","","24266","","","90104","100066","2000204"
"1","129","Both","","","","ECHO","","Lebanon","LN","VA","","","24266","","","90104","100066","2000205"
"1","129","Both","","","","T & T","","Swords Creek","DR","VA","","","24649","","","90010","100062","2000206"
"1","1299","Both","","","","FEDERAL","","RADFORD","ST","VA","","","24141","","","90029","100115","2000207"
"1","13","Both","","","","WINDSTREAM","","RADFORD","CT","VA","","","24141","","","90137","100071","2000208"
"1","130","Both","","","","Bishop","","Bastian","Ln","VA","","","24314","","","90039","100171","2000209"
"1","130","Both","","","","HENRY KISER","","Lebanon","RD","VA","","","24266","","","90059","100051","2000210"
"1","130","Both","","","","SUNDOWN","","Castlewood","DR","VA","","","24224","","","90141","100029","2000211"
"1","1300","Both","","","SE","12TH","","NORTON","ST","VA","","","24273","","","90015","100058","2000212"
"1","1303","Odd","","","","PINCH CREEK","","BLAND","RD","VA","","","24315","","","90025","100136","2000213"
"1","131","Both","","","","CAMPBELLS PARK","","LEBANON","DR","VA","","","24266","","","90104","100066","2000214"
"1","131","Both","","","","CHANTING","","HONAKER","ST","VA","","","24260","","","90136","100105","2000215"
"1","131","Both","","","","DELPH","","Castlewood","ST","VA","","","24224","","","90100","100106","2000216"
"1","131","Both","","","","HILLCREST","","Lebanon","CT","VA","","","24266","","","90059","100034","2000217"
"1","131","Both","","","","SHORT RUN","","BLAND","RD","VA","","","24315","","","90119","100063","2000218"
"1","132","Both","","","","CARROLL","","Lebanon","ST","VA","","","24266","","","90059","100034","2000219"
"1","1323","Both","","","","HIGH RIDGE","","BLAND","LN","VA","","","24315","","","90063","100154","2000220"
"1","1325","Both","","","","Dacota","","Big Stone Gap","AVE","VA","","","24219","","","90089","100091","2000221"
"1","1329","Both","","","","CRACKERS NECK","","Cleveland","RD","VA","","","24225","","","90140","100114","2000222"
"1","133","Both","","","","BETHEL","","BLAND","LN","VA","","","24315","","","90063","100154","2000223"
"1","133","Both","","","","Buckeye","","Rocky Gap","LN","VA","","","24366","","","90039","100171","2000224"
"1","133","Both","","","","DAISY","","Swords Creek","LN","VA","","","24649","","","90010","100062","2000225"
"1","133","Both","","","","ELAM","","Castlewood","RD","VA","","","24224","","","90141","100029","2000226"
"1","133","Both","","","","Hemlock","","Bland","LN","VA","","","24315","","","90119","100063","2000227"
"1","134","Both","","","","MIDWAY","","Lebanon","ST","VA","","","24266","","","90104","100066","2000228"
"1","134","Both","","","","VIRGINIA","","Castlewood","DR","VA","","","24224","","","90141","100029","2000229"
"1","1343","Both","","","","OLD MILL","","BLAND","RD","VA","","","24315","","","90119","100063","2000230"
"1","1349","Both","","","","WHACKERTOWN","","BLAND","DR","VA","","","24315","","","90063","100154","2000231"
"1","135","Both","","","","BRIDGE","","Raven","ST","VA","","","24639","","","90010","100062","2000232"
"1","135","Both","","","","HICKS","","Lebanon","CIR","VA","","","24266","","","90059","100034","2000233"
"1","1350","Both","","","SW","12TH","","NORTON","ST","VA","","","24273","","","90015","100058","2000234"
"1","1354","Both","","","","SEVEN SPRINGS HOLLOW","","Castlewood","RD","VA","","","24224","","","90087","100095","2000235"
"1","136","Both","","","","ASPEN","","Honaker","CT","VA","","","24260","","","90056","100167","2000236"
"1","136","Both","","","","PERRY","","Swords Creek","DR","VA","","","24649","","","90010","100062","2000237"
"1","136","Both","","","","SHORTS TRAILER","","Honaker","CT","VA","","","24260","","","90056","100167","2000238"
"1","136","Both","","","","SPRINGBROOK","","Honaker","LN","VA","","","24260","","","90136","100105","2000239"
"1","1362","Both","","","","HONAKER CHAPEL","","Castlewood","RD","VA","","","24224","","","90087","100095","2000240"
"1","1367","Both","","","","FINCASTLE","","LEBANON","RD","VA","","","24266","","","90059","100034","2000241"
"1","137","Both","","","","DALTON","","Cedar Bluff","ST","VA","","","24609","","","90038","100054","2000242"
"1","137","Both","","","","FLANNIGAN","","Lebanon","AVE","VA","S","","24266","","","90059","100034","2000243"
"1","137","Both","","","","Golden Acres","","Bland","LN","VA","","","24315","","","90024","100172","2000244"
"1","137","Both","","","","HILLSIDE","","Honaker","DR","VA","","","24260","","","90136","100105","2000245"
"1","138","Both","","","","BURNS","","Lebanon","AVE","VA","","","24266","","","90059","100034","2000246"
"1","138","Both","","","","GILBERT","","Lebanon","ST","VA","","","24266","","","90059","100034","2000247"
"1","1381","Both","","","","REYNOLDS","","SWORDS CREEK","HOLW","VA","","","24649","","","90010","100062","2000248"
"1","139","Both","","","","CAMP","","BASTIAN","DR","VA","E","","24314","","","90105","100013","2000249"
"1","139","Both","","","","CENTER","","Lebanon","ST","VA","","","24266","","","90059","100034","2000250"
"1","139","Both","","","","Highland","","Bastian","LN","VA","","","24314","","","90105","100013","2000251"
"1","139","Both","","","","JONES","","Lebanon","DR","VA","","","24266","","","90059","100034","2000252"
"1","139","Both","","","","MEADOWLANDS","","Lebanon","CIR","VA","","","24266","","","90129","100096","2000253"
"1","139","Both","","","","STRAWBERRY","","Castlewood","LN","VA","","","24224","","","90141","100029","2000254"
"1","140","Both","","","","HANSONVILLE","","LEBANON","LN","VA","","","24266","","","90129","100096","2000255"
"1","140","Both","","","","SEXTON","","Castlewood","DR","VA","","","24224","","","90141","100029","2000256"
"1","1403","Both","","","","BEE HIVE","","HONAKER","HOLW","VA","","","24260","","","90143","100145","2000257"
"1","1406","Both","","","","FRANKS HOLLOW","","Swords Creek","RD","VA","","","24649","","","90010","100062","2000258"
"1","1408","Both","","","","RIDGE RUN","","Lebanon","LN","VA","","","24266","","","90059","100051","2000259"
"1","141","Both","","","","AUTUMN","","HONAKER","ST","VA","","","24260","","","90136","100105","2000260"
"1","141","Both","","","","CROSS CREEK","","Rosedale","LN","VA","","","24280","","","90038","100054","2000261"
"1","141","Both","","","","HILL TOP","","Lebanon","AVE","VA","","","24266","","","90104","100066","2000262"
"1","141","Both","","","","PENNINGTON","","BASTIAN","LN","VA","","","24314","","","90105","100013","2000263"
"1","141","Both","","","","SUNSET","","Lebanon","DR","VA","","","24266","","","90129","100096","2000264"
"1","1414","Both","","","","CALL VALLEY","","SWORDS CREEK","RD","VA","","","24649","","","90010","100062","2000265"
"1","1419","Both","","","","MOUNTAIN SPUR","","Cedar Bluff","DR","VA","","","24609","","","90038","100054","2000266"
"1","1420","Both","","","","FLOYD","","PULASKI","LN","VA","","","24301","","","90139","100101","2000267"
"1","1425","Both","","","","FORK RIDGE","","Lebanon","RD","VA","","","24266","","","90129","100096","2000268"
"1","143","Both","","","","Bobwhite","","Bland","LN","VA","","","24315","","","90025","100136","2000269"
"1","143","Both","","","","FARM HOUSE","","SWORDS CREEK","DR","VA","","","24649","","","90010","100062","2000270"
